id,primaryColor,secondarColor,name,abbrevation
"100","rgba(0,34,68,1)","rgba(127,150,149,1)","COWBOYS","DAL"
"101","rgba(0,34,68,1)","rgba(198,12,48,1)","PATRIOTS","NE"
"102","rgba(0,76,84,1)","rgba(165,172,175,1)","EAGLES","PHI"
"103","rgba(255,182,18,1)","rgba(16,24,32,1)","STEELERS","PIT"
"104","rgba(24,48,40,1)","rgba(255,184,28,1)","PACKERS","GB"
"105","rgba(1,35,82,1)","rgba(163,13,45,1)","GIANTS","NYG"
"106","rgba(11,22,42,1)","rgba(200,56,3,1)","BEARS","CHI"
"107","rgba(211,188,141,1)","rgba(16,24,31,1)","SAINTS","NO"
"108","rgba(0,34,68,1)","rgba(105,190,40,1)","SEAHAWKS","SEA"
"109","rgba(0,34,68,1)","rgba(134,109,75,1)","RAMS","LA"
"110","rgba(49,29,0,1)","rgba(255,60,0,1)","BROWNS","CLE"
"111","rgba(170,0,0,1)","rgba(173,153,93,1)","49ERS","SF"
"112","rgba(0,0,0,1)","rgba(165,172,175,1)","RAIDERS","OAK"
"113","rgba(79,38,131,1)","rgba(255,198,47,1)","VIKINGS","MIN"
"114","rgba(207,34,52,1)","rgba(255,184,28,1)","CHIEFS","KC"
"115","rgba(63,16,16,1)","rgba(255,182,18,1)","REDSKINS","WAS"
"116","rgba(0,133,202,1)","rgba(16,24,32,1)","PANTHERS","CAR"
"117","rgba(0,142,151,1)","rgba(242,106,36,1)","DOLPHINS","MIA"
"118","rgba(0,51,141,1)","rgba(198,12,48,1)","BILLS","BUF"
"119","rgba(251,79,20,1)","rgba(0,34,68,1)","BRONCOS","DEN"
"120","rgba(0,63,45,1)","rgba(0,0,0,1)","JETS","NYJ"
"121","rgba(167,25,48,1)","rgba(0,0,0,1)","FALCONS","ATL"
"122","rgba(0,118,182,1)","rgba(176,183,188,1)","LIONS","DET"
"123","rgba(0,42,94,1)","rgba(255,194,14,1)","CHARGERS","LAC"
"124","rgba(0,42,92,1)","rgba(68,149,209,1)","TITANS","TEN"
"125","rgba(151,35,63,1)","rgba(0,0,0,1)","CARDINALS","ARI"
"126","rgba(251,79,20,1)","rgba(0,0,0,1)","BENGALS","CIN"
"127","rgba(26,25,95,1)","rgba(158,124,12,1)","RAVENS","BAL"
"128","rgba(0,44,95,1)","rgba(162,170,173,1)","COLTS","IND"
"129","rgba(3,32,47,1)","rgba(167,25,48,1)","TEXANS","HOU"
"130","rgba(0,103,120,1)","rgba(215,162,42,1)","JAGUARS","JAX"
"131","rgba(213,10,10,1)","rgba(10,10,8,1)","BUCCANEERS","TB"
